KMtraveled,color,doorNumber,engine,fuelConsumption,gear,name,origin,price,status
65000,Trắng,4,Số tự động,,0,Bán ô tô Mercedes Benz S class S500L - 2016 - xe cũ,Nhập khẩu,2.39 tỉ,Đã qua sử dụng
70000,Đen,5,Số tự động,,0,Bán ô tô Honda City 1.5 Top - 2019 - xe cũ,Lắp ráp trong nước,470 triệu,Đã qua sử dụng
0,Nâu,5,Số tự động,1940,8,Bán ô tô Mitsubishi Pajero Sport 2.4D 4x2 AT - 2022 - xe mới,Nhập khẩu,1 tỉ,Mới
0,Đen,4,Số tay,,0,Bán ô tô Daewoo Nubira II 1.6 - 2001 - xe cũ,Lắp ráp trong nước,95 triệu,Đã qua sử dụng
55000,Đen,5,Số tự động,,0,Bán ô tô Honda CRV G - 2018 - xe cũ,Nhập khẩu,750 triệu,Đã qua sử dụng
17000,Vàng,5,Số tự động,,0,Bán ô tô Hyundai Kona 1.6 Turbo - 2019 - xe cũ,Lắp ráp trong nước,600 triệu,Đã qua sử dụng
21,Đen,5,Số tự động,1,7,Bán ô tô Honda HRV L - 2021 - xe cũ,Nhập khẩu,659 triệu,Đã qua sử dụng
43000,Trắng,4,Số tự động,,0,Bán ô tô Chevrolet Colorado LTZ 2.8L 4x4 AT - 2018 - xe cũ,Nhập khẩu,495 triệu,Đã qua sử dụng
110000,Đỏ,5,Số tay,,6,Bán ô tô Chevrolet Spark Se - 2016 - xe cũ,Lắp ráp trong nước,175 triệu,Đã qua sử dụng
38000,Nâu,5,Số tự động,,7,Bán ô tô Kia Rondo AT - 2020 - xe cũ,Lắp ráp trong nước,516 triệu,Đã qua sử dụng
110000,Bạc,5,Số tay,,7,Bán ô tô Chevrolet Aveo 1.5 MT - 2011 - xe cũ,Lắp ráp trong nước,99 triệu,Đã qua sử dụng
12000,Đen,4,Số tự động,,0,Bán ô tô Mercedes Benz S class S450 - 2022 - xe cũ,Nhập khẩu,4.888 tỉ,Đã qua sử dụng
70000,Đen,5,Số tự động,2,10,Bán ô tô Mercedes Benz GLK Class GLK250 4Matic - 2015 - xe cũ,Lắp ráp trong nước,765 triệu,Đã qua sử dụng
9000,Nâu,4,Số tự động,,0,Bán ô tô Mercedes Benz G class G63 AMG - 2021 - xe cũ,Nhập khẩu,10.111 tỉ,Đã qua sử dụng
36000,Đỏ,4,Số tự động,,0,Bán ô tô Toyota Vios 1.5E CVT - 2019 - xe cũ,Lắp ráp trong nước,460 triệu,Đã qua sử dụng
75000,Trắng,4,Số tự động,3,7,Bán ô tô Mercedes Benz C class C300 AMG - 2011 - xe cũ,Lắp ráp trong nước,490 triệu,Đã qua sử dụng
40000,Đen,5,Số tự động,,0,Bán ô tô Hyundai Kona 2.0 ATH - 2018 - xe cũ,Lắp ráp trong nước,560 triệu,Đã qua sử dụng
3300,Đen,4,Số tự động,,0,Bán ô tô Mercedes Benz S class S450L Luxury - 2019 - xe cũ,Lắp ráp trong nước,3.22 tỉ,Đã qua sử dụng
0,Trắng,5,Số tự động,1,5,Bán ô tô Hyundai i10 1.2 AT - 2023 - xe mới,Lắp ráp trong nước,406 triệu,Mới
30000,Xanh,5,Số tự động,,0,Bán ô tô BMW X7 M sport - 2019 - xe cũ,Nhập khẩu,3.95 tỉ,Đã qua sử dụng
0,9,AWD - 4 bánh toàn thời gian,Số tự động,,0,Bán ô tô BMW X7 M sport - 2023 - xe mới,Nhập khẩu,6.209 tỉ,Mới
40000,0,Trắng,,,,Bán ô tô Toyota Hilux - 2018 - xe cũ,Nhập khẩu,555 triệu,Đã qua sử dụng
55000,Bạc,5,Số tự động,,0,Bán ô tô Nissan X trail AT - 2017 - xe cũ,Lắp ráp trong nước,598 triệu,Đã qua sử dụng
0,Đỏ,4,Số tự động,2,7,Bán ô tô Ford Ranger Wildtrak 2.0L 4x4 AT - 2023 - xe mới,Lắp ráp trong nước,972 triệu,Mới
58000,Đen,4,Số tự động,2,7,Bán ô tô Mercedes Benz E class E200 - 2016 - xe cũ,Lắp ráp trong nước,1.139 tỉ,Đã qua sử dụng
0,Nâu,5,Số tự động,1275,6,Bán ô tô Mitsubishi Xpander Premium 1.5 AT - 2023 - xe mới,Nhập khẩu,640 triệu,Mới
40,Đen,4,Số tự động,,0,Bán ô tô Mercedes Benz E class E200 - 2017 - xe cũ,Lắp ráp trong nước,1.16 tỉ,Đã qua sử dụng
78000,Đen,4,Số tự động,2,8,Bán ô tô Mercedes Benz E class E250 - 2014 - xe cũ,Lắp ráp trong nước,757 triệu,Đã qua sử dụng
