name,yom,price,origin,status,KMtraveled,color,doorNumber,seatNumber,engine,gear,fuelConsumption
Hãng Ford bán Focus 1.5 Ecoboost Turbo 2017 một chủ chạy siêu ít,2017,395 triệu,Trong nước,Đã qua sử dụng,34000,11,4,5,Số tự động,8,Xăng
Hãng bán Ford Ecosport Titanium 2019 chạy ít 30.000 km,2019,465 triệu,Trong nước,Đã qua sử dụng,30000,8,5,5,Số tự động,6,Xăng
" Ford Transit năm 2018, màu trắng, giá chỉ 540 triệu",2018,540 triệu,Lắp ráp trong nước,Đã qua sử dụng,79000,0,4,16,Số tự động,0,
" Ford Ranger XLS AT 4x4 2023, màu đen",2023,715 triệu,Trong nước,Đã qua sử dụng,15000,10,4,5,Số tự động,8,Diesel
"Suzuki XL7 2021,odo 48.000km giá 471 còn thương lượng mạnh",2021,471 triệu,Nhập khẩu,Đã qua sử dụng,48000,Nâu,5,5,Số tự động,0,
 Hyundai Kona Đặc biệt 2.0 ATH sx 2020 màu Xanh,2020,555 triệu,Trong nước,Đã qua sử dụng,21000,10,5,5,Số tự động,8,Xăng
" Ford Ranger năm sản xuất 2020, màu ghi, nhập khẩu nguyên chiếc, giá tốt",2020,665 triệu,Nhập khẩu,Đã qua sử dụng,19000,Diesel,0,Đỏ,Số tự động,,
Hyundai Accent đặc biệt 2022 giá chỉ 468tr còn thương lượng,2022,458 triệu,Lắp ráp trong nước,Đã qua sử dụng,26252,Đỏ,5,5,Số tự động,0,
"Cần bán xe Honda Brio RS sản xuất 2021, màu trắng, xe nhập, giá 399tr",2021,399 triệu,Nhập khẩu,Đã qua sử dụng,7500,Trắng,5,5,Số tự động,0,
"Toyota Veloz Cross CVT Top 2023, màu đỏ, giá tốt nhất thị trường",2023,657 triệu,Trong nước,Đã qua sử dụng,16000,Đỏ,5,5,Số tự động,0,
"Mazda 3 1.5 Luxury năm 2022, màu trắng, giá tốt",2022,578 triệu,Lắp ráp trong nước,Đã qua sử dụng,29800,Trắng,5,5,Số tự động,0,
"Ford EcoSport Titanium 2021, full đồ chơi chính hãng bán",2021,510 triệu,Trong nước,Đã qua sử dụng,40000,Trắng,5,5,Số tự động,8,0
Honda City L 2022 màu bạc giá 483tr còn thương lượng mạnh,2022,483 triệu,Trong nước,Đã qua sử dụng,51000,0,5,5,Số tự động,0,
Hyundai Accent AT 2023 giá 463tr còn thương lượng mạnh,2023,463 triệu,Trong nước,Đã qua sử dụng,17424,Đỏ,5,5,Số tự động,0,
"Toyota Vios G 2023, màu đen, giá 534tr còn thương lượng mạnh",2023,534 triệu,Trong nước,Đã qua sử dụng,13445,Đen,5,5,Số tự động,0,
"Kia Seltos Premium 2021, màu đỏ, giá 605 triệu thương lượng mạnh",2021,605 triệu,Trong nước,Đã qua sử dụng,35600,Đỏ,5,5,Số tự động,0,
"Ford Ranger XLS AT đèn Led 2023, hãng bán BH toàn quốc",2023,675 triệu,Trong nước,Đã qua sử dụng,25000,Nâu,4,5,Số tự động,10,0
"Mazda 3 1.5 Luxury 2022, màu trắng giá 574tr còn thương lượng",2022,574 triệu,Lắp ráp trong nước,Đã qua sử dụng,39878,Trắng,5,5,Số tự động,0,
 ô tô Ford Everest Titanium 2.0L 4x2 AT ,2020,890 triệu,Nhập khẩu,Đã qua sử dụng,33000,0,5,7,Số tự động,0,
"Cần bán Honda City L sản xuất 2022, màu đen, giá chỉ 485 triệu",2022,485 triệu,Trong nước,Đã qua sử dụng,34302,Đen,5,5,Số tự động,0,
"VinFast Fadil Tiêu Chuẩn 2020, full option 100 triệu",2020,329 triệu,Lắp ráp trong nước,Đã qua sử dụng,46000,0,5,5,Số tự động,0,
 ô tô Rolls,2012,15.9 tỉ,Nhập khẩu,Đã qua sử dụng,16000,Đen,4,4,Số tự động,5,Xăng
